Global Company Key,Data Date,Data Year - Fiscal,Ticker Symbol,CUSIP,Company Name,Fiscal Year-end Month,Current Assets - Total,Assets - Total,Book Value Per Share,Cash,Cost of Goods Sold,Common Shares Outstanding,Debt in Current Liabilities - Total,Long-Term Debt - Total,Dividends - Total,Earnings Before Interest and Taxes,Employees,Gross Profit (Loss),Invested Capital - Total,Inventories - Total,Current Liabilities - Total,Liabilities - Total,Net Income (Loss),"Property, Plant and Equipment - Total (Gross)",Retained Earnings,Receivables - Total,Sales/Turnover (Net),Stockholders Equity - Parent,Interest and Related Expense - Total,Market Value - Total - Fiscal,Price Close - Annual - Fiscal,Standard Industry Classification Code
1045,20191231,2019,AAL,02376R102,AMERICAN AIRLINES GROUP INC,12,8206,59995,-0.2756,280,32027,428.203,4569,28875,180,3706,133.7,13741,28757,1851,18311,60113,1686,62391,-4067,1750,45768,-118,1095,12280.862,28.68,4512
1075,20191231,2019,PNW,723484101,PINNACLE WEST CAPITAL CORP,12,1030.03,18479.247,48.2999,10.283,2208.32,112.436,927.388,4884.43,341.893,671.96,6.21,1262.889,10437.618,345.92,2078.365,12926.059,538.32,21402.118,2780.514,386.42,3471.209,5430.648,235.251,10111.3695,89.93,4911
1078,20191231,2019,ABT,2824100,ABBOTT LABORATORIES,12,15667,67887,17.6386,3860,11949,1762.503,1683,17416,2343,5041,107,19955,48717,4316,10863,36586,3687,17733,17382,5425,31904,31088,670,153091.0106,86.86,3845
1161,20191231,2019,AMD,7903107,ADVANCED MICRO DEVICES,12,4597,6028,2.4162,1466,3721,1170,43,685,0,583,11.4,3010,3512,982,2359,3201,341,1473,-7095,1872,6731,2827,94,53656.2,45.86,3674
1209,20190930,2019,APD,9158106,AIR PRODUCTS & CHEMICALS INC,9,4618.3,18942.8,50.149,2248.7,4892.7,220.415,98.6,3227.4,1008.3,2120.5,17.7,4026.2,14615.7,388.3,1820.9,7554.5,1760,22333.7,11762.8,1415.4,8918.9,11053.6,150.5,48901.2719,221.86,2810
1230,20191231,2019,ALK,11659109,ALASKA AIR GROUP INC,12,2037,12993,35.2114,221,6379,123,504,2703,173,1107,24.134,2402,7034,72,3201,8662,769,12099,4668,323,8781,4331,78,8333.25,67.75,4512
1234,20191231,2019,ATRI,49904105,ATRION CORP,12,132.338,262.031,128.2318,45.048,73.525,1.855,0.299,0.268,10.777,40.529,0.616,81.541,238.138,42.093,11.274,24.161,36.761,200.99,317.745,18.886,155.066,237.87,0,1394.0325,751.5,3841
1300,20191231,2019,HON,438516106,HONEYWELL INTERNATIONAL INC,12,24303,58679,26.0076,9067,22975,711.1,5063,11644,2428,7397,113,13734,30357,4421,18098,39966,6143,14386,34496,7790,36709,18494,357,125864.7,177,9997
1327,20190930,2019,SWKS,83088M102,SKYWORKS SOLUTIONS INC,9,2234.6,4839.6,24.2346,851.3,1353,170.1,0,0,273.9,1042.1,9,2023.8,4122.3,609.7,374,717.3,853.6,2883.9,4304.7,465.3,3376.8,4122.3,0,13480.425,79.25,3674
1380,20191231,2019,HES,42809H107,HESS CORP,12,3156,21782,28.6337,1545,3106,304.955,199,7733,314,637,1.775,3389,17439,261,2510,12076,-408,36648,2836,1170,6495,8732,418,20374.0436,66.81,1311
1393,20190331,2018,UHAL,23586100,AMERCO,3,,11891.713,188.3103,673.701,2593.721,19.608,475.898,3687.425,39.18,593.961,30,1174.986,7379.814,103.504,,8199.324,370.857,11022.027,3910.264,493.497,3768.707,3692.389,155.178,7284.5681,371.51,7510
1439,20191231,2019,ECOL,91734M103,US ECOLOGY INC,12,332.971,2231.244,32.1471,41.281,421.373,31.461,24.804,822.104,15.89,74.094,3.8,264.136,1833.484,0,180.77,1219.864,33.14,790.754,194.72,266.554,685.509,1011.38,19.239,1821.9065,57.91,4955
1440,20191231,2019,AEP,25537101,AMERICAN ELECTRIC POWER CO,12,4077.8,75892.3,39.7277,246.8,10454.6,494.169,4728.7,26110.6,1350,2592.3,17.408,5106.8,46132.4,1169.2,10299.1,55870.5,1921.1,80103.1,9753.2,1705.1,15561.4,19675.1,1161.2,46703.9122,94.51,4911
1447,20191231,2019,AXP,25816109,AMERICAN EXPRESS CO,12,,198321,26.5074,23932,36250,810,22057,43003,1439,9582,64.5,10770,66074,0,,175250,6759,11396,11134,146418,47020,23071,1028,100836.9,124.49,6141
1449,20191231,2019,AFL,1055102,AFLAC INC,12,,152768,39.8449,4896,17594,726.793,4,6565,801,4735,11.729,4775,35524,0,,123809,3304,1190,40906,12389,22369,28959,228,38447.3497,52.9,6321
1487,20191231,2019,AIG,26874784,AMERICAN INTERNATIONAL GROUP,12,,525064,74.9139,2856,37687,869.999,3500,36083,1136,6617,46,11623,103510,0,,457637,3348,,28066,97569,49310,65675,1417,44657.0487,51.33,6331
1526,20191231,2019,ANAT,28591105,AMERICAN NATIONAL INSURANCE,12,,28597.566,222.7749,452.001,3322.606,26.887,0,157.997,88.243,694.377,,747.537,6153.76,0,,22601.803,620.363,364.21,6046.375,6431.284,4070.143,5989.749,,3164.0622,117.68,6311
1598,20191231,2019,AME,31100100,AMETEK INC,12,2025.771,9844.559,22.3303,393.03,3136.855,229.083,540.474,2413.912,127.496,1177.38,18.1,2021.702,7529.404,624.567,1425.858,4729.067,861.297,1583.729,5854.473,817.799,5158.557,5115.492,88.481,22848.7384,99.74,3823
1602,20191231,2019,AMGN,31162100,AMGEN INC,12,18440,59707,16.3561,6037,2321,591.4,3093,27338,3555,9721,23.4,21041,37011,3584,12835,50034,7842,13754,-21858,4652,23362,9673,1289,142568.798,241.07,2836
1632,20191031,2019,ADI,32654105,ANALOG DEVICES,10,1985.126,21392.641,31.7924,648.322,1595.105,368.302,299.667,5192.252,777.481,1806.267,16.4,4395.96,16901.44,609.886,1508.632,9683.453,1363.011,3811.257,6711.454,635.136,5991.065,11709.188,229.075,39272.0423,106.63,3674
1678,20191231,2019,APA,37411105,APACHE CORP,12,1961,18107,8.6555,247,3465,376.063,180,8752,376,-1332,3.163,2815,13772,502,1855,13087,-3553,43145,-5585,1062,6280,3255,437,9623.4522,25.59,1311
1686,20190228,2018,APOG,37598109,APOGEE ENTERPRISES INC,2,371.898,1068.168,18.3719,17.087,1071.972,27.015,0.121,245.724,17.864,69.425,7,330.665,742.041,165.835,227.512,571.851,45.694,676.07,335.47,160.371,1402.637,496.317,8.449,964.1654,35.69,3442
1690,20190930,2019,AAPL,37833100,APPLE INC,9,162819,338516,20.3653,48844,149235,4443.236,16240,91807,14129,63930,137,110939,182295,4106,105718,248028,55256,95957,45314,45804,260174,90488,3576,995151.5669,223.97,3663
1704,20191031,2019,AMAT,38222105,APPLIED MATERIALS INC,10,10206,19024,8.9672,3129,7859,916,600,4713,770,3372,22,6749,12927,3474,4447,10810,2706,4071,24206,2641,14608,8214,237,49702.16,54.26,3559
1722,20191231,2019,ADM,39483102,ARCHER-DANIELS-MIDLAND CO,12,21347,43997,34.4847,852,59517,557,1424,8453,789,1671,38.1,5139,27736,9170,13734,24714,1379,26970,16553,4665,64656,19208,417,25816.95,46.35,2070
1743,20191231,2019,ARCB,03937C105,ARCBEST CORP,12,664.402,1651.207,30.034,201.909,2791.452,25.406,77.57,318.491,8.187,84.392,13,196.858,1081.534,0,444.277,888.164,39.985,1701.417,533.39,301.353,2988.31,763.043,11.467,701.2056,27.6,4213
1878,20190131,2018,ADSK,52769106,AUTODESK INC,1,1620,4729.2,-0.9613,886,211.2,219.4,0,2087.7,0,33,9.6,2358.6,1876.8,0,2301.2,4940.1,-80.8,571.9,-2282.4,474.3,2569.8,-210.9,,32295.68,147.2,7370
1891,20190630,2019,ADP,53015103,AUTOMATIC DATA PROCESSING,6,34342.3,41887.7,12.4364,1949.2,7677.6,434.2,264.5,2002.2,1338.8,3080.8,58,6497.6,7402.1,0,32627.7,36487.8,2292.8,2181.8,17243.3,2439.3,14175.2,5399.9,129.9,71786.286,165.33,7374
