tic,conm_x,Last Price,YTD Ret,1-mth Ret,3-mth Ret,12-mth Ret,BothSP-NASDAQ,SP500,Ticker,gvkey,datadate,fyear,cusip,conm_y,fyr,exchg,cik,fic,addzip,city,gsubind,naics,sic,state,PERMNO,date,NCUSIP,COMNAM,PERMCO,CUSIP
A,Agilent Technologies,70.42,-0.1745,-0.1233,-0.1673,-0.1406,0,1, A,126554,20191031,2019,00846U101,AGILENT TECHNOLOGIES INC,10,11,1090872,USA,95051,Santa Clara,35203010,334516,3826,CA,87432,20191231,00846U10,AGILENT TECHNOLOGIES INC,36364,00846U10
AAL,American Airlines Gp,9.39,-0.6726,-0.4739,-0.6604,-0.7214,1,1, AAL,1045,20191231,2019,02376R102,AMERICAN AIRLINES GROUP INC,12,14,6201,USA,76155,Fort Worth,20302010,481111,4512,TX,21020,20191231,02376R10,AMERICAN AIRLINES GROUP INC,20010,02376R10
AAON,Aaon Inc,44.91,-0.0911,-0.2006,-0.108,-0.0194,0,0, AAON,21542,20191231,2019,360206,AAON INC,12,14,824142,USA,74107,Tulsa,20102010,333415,3585,OK,76868,20191231,36020,AAON INC,10817,36020
AAP,Advance Auto Parts Inc,84.65,-0.4715,-0.3505,-0.469,-0.507,0,1, AAP,145977,20191231,2019,00751Y106,ADVANCE AUTO PARTS INC,12,11,1158449,USA,27604,Raleigh,25504050,441310,5531,NC,89217,20191231,00751Y10,ADVANCE AUTO PARTS INC,42402,00751Y10
AAPL,Apple Inc,241.41,-0.1779,-0.1656,-0.1883,0.2358,1,1, AAPL,1690,20190930,2019,37833100,APPLE INC,9,14,320193,USA,95014,Cupertino,45202030,334220,3663,CA,14593,20191231,3783310,APPLE INC,7,3783310
AAWW,Atlas Air Ww,20.17,-0.2684,-0.22,-0.2652,-0.6002,0,0, AAWW,61155,20191231,2019,49164205,ATLAS AIR WORLDWIDE HLDG INC,12,14,1135185,USA,10577,Purchase,20301010,481212,4522,NY,91262,20191231,4916420,ATLAS AIR WORLDWIDE HOLDINGS INC,13927,4916420
AAXN,Axon Inc,61.51,-0.1606,-0.2124,-0.1679,0.1107,0,0, AAXN,143912,20191231,2019,05464C101,AXON ENTERPRISE INC,12,14,1069183,USA,85255,Scottsdale,20101010,332994,3480,AZ,89031,20191231,05464C10,AXON ENTERPRISE INC,41562,05464C10
ABBV,Abbvie Inc,73.37,-0.1713,-0.1622,-0.1728,-0.1169,0,1, ABBV,16101,20191231,2019,00287Y109,ABBVIE INC,12,11,1551152,USA,60064,North Chicago,35201010,325414,2836,IL,13721,20191231,00287Y10,ABBVIE INC,54287,00287Y10
ABC,Amerisourcebergen Corp,81.34,-0.0433,-0.0528,-0.0318,0.0838,0,1, ABC,31673,20190930,2019,3.07E+108,AMERISOURCEBERGEN CORP,9,11,1140859,USA,19087,Chesterbrook,35102010,424210,5122,PA,81540,20191231,3.07E+13,AMERISOURCEBERGEN CORP,13650,3.07E+13
ABCB,Ameris Bancorp,20.66,-0.5143,-0.4038,-0.5147,-0.4104,0,0, ABCB,30222,20191231,2019,03076K108,AMERIS BANCORP,12,14,351569,USA,30305,Atlanta,40101015,522110,6020,GA,80498,20191231,03076K10,AMERIS BANCORP,13092,03076K10
